samp_id,label
1,6
2,5
3,10
4,0
5,1
6,5
7,10
8,14
9,1
10,7
11,8
12,8
13,10
14,12
15,7
16,4
17,22
18,0
19,7
20,19
21,2
22,0
23,21
24,4
25,10
26,15
27,2
28,16
29,7
30,1
31,19
32,8
33,13
34,5
35,3
36,21
37,13
38,3
39,0
40,14
41,15
42,23
43,8
44,15
45,14
46,5
47,17
48,4
49,11
50,4
51,21
52,21
53,3
54,5
55,16
56,16
57,21
58,4
59,6
60,21
61,17
62,4
63,11
64,22
65,2
66,20
67,1
68,4
69,18
70,4
71,20
72,19
73,15
74,4
75,1
76,20
77,15
78,11
79,2
80,2
81,17
82,2
83,7
84,21
85,23
86,24
87,12
88,21
89,8
90,2
91,2
92,1
93,7
94,11
95,8
96,15
97,0
98,0
99,19
100,5
101,8
102,4
103,2
104,17
105,16
106,1
107,15
108,2
109,2
110,19
111,12
112,15
113,0
114,24
115,2
116,23
117,13
118,24
119,16
120,20
121,4
122,8
123,8
124,12
125,12
126,8
127,6
128,21
129,18
130,23
131,11
132,21
133,2
134,16
135,23
136,23
137,4
138,21
139,22
140,20
141,15
142,18
143,7
144,17
145,17
146,10
147,1
148,17
149,17
150,5
151,4
152,5
153,3
154,5
155,2
156,23
157,2
158,10
159,7
160,5
161,14
162,5
163,8
164,24
165,1
166,23
167,6
168,3
169,11
170,8
171,19
172,15
173,4
174,16
175,3
176,17
177,18
178,15
179,10
180,1
181,13
182,16
183,24
184,23
185,2
186,7
187,8
188,24
189,1
190,12
191,23
192,3
193,0
194,23
195,13
196,16
197,13
198,5
199,7
200,1
201,7
202,7
203,8
204,22
205,23
206,0
207,20
208,23
209,20
210,14
211,3
212,7
213,14
214,12
215,18
216,6
217,3
218,16
219,4
220,10
221,4
222,23
223,5
224,6
225,23
226,1
227,2
228,15
229,11
230,18
231,18
232,6
233,5
234,21
235,5
236,1
237,17
238,13
239,23
240,24
241,10
242,24
243,19
244,13
245,8
246,1
247,15
248,4
249,10
250,22
251,16
252,1
253,18
254,12
255,24
256,1
257,21
258,5
259,4
260,23
261,22
262,13
263,3
264,12
265,16
266,8
267,19
268,21
269,14
270,6
271,17
272,8
273,20
274,24
275,7
276,4
277,17
278,6
279,13
280,15
281,13
282,6
283,6
284,11
285,6
286,14
287,12
288,18
289,21
290,20
291,6
292,1
293,24
294,1
295,20
296,2
297,23
298,12
299,23
300,8
301,23
302,13
303,2
304,12
305,1
306,4
307,4
308,8
309,5
310,0
311,0
312,0
313,21
314,17
315,10
316,16
317,2
318,20
319,5
320,3
321,13
322,12
323,2
324,1
325,15
326,21
327,21
328,14
329,15
330,24
331,7
332,3
333,17
334,7
335,20
336,8
337,12
338,3
339,6
340,1
341,20
342,4
343,1
344,8
345,3
346,17
347,18
348,15
349,5
350,4
351,1
352,24
353,2
354,8
355,19
356,8
357,6
358,1
359,4
360,23
361,24
362,20
363,0
364,11
365,1
366,23
367,21
368,23
369,11
370,23
371,2
372,15
373,3
374,23
375,6
376,24
377,19
378,14
379,10
380,8
381,13
382,7
383,20
384,1
385,12
386,0
387,23
388,11
389,5
390,17
391,4
392,3
393,21
394,14
395,19
396,8
397,23
398,20
399,7
400,18
401,22
402,0
403,7
404,4
405,20
406,13
407,4
408,1
409,11
410,14
411,20
412,21
413,1
414,12
415,24
416,11
417,1
418,10
419,22
420,7
421,7
422,1
423,15
424,24
425,24
426,3
427,0
428,7
429,1
430,19
431,22
432,8
433,1
434,14
435,14
436,11
437,12
438,1
439,1
440,14
441,22
442,5
443,10
444,13
445,11
446,12
447,5
448,22
449,1
450,12
451,18
452,24
453,2
454,8
455,21
456,12
457,6
458,21
459,18
460,11
461,7
462,3
463,3
464,12
465,0
466,4
467,1
468,6
469,6
470,20
471,16
472,18
473,0
474,20
475,13
476,3
477,20
478,2
479,2
480,19
481,4
482,23
483,5
484,2
485,6
486,0
487,4
488,17
489,11
490,21
491,1
492,12
493,0
494,12
495,5
496,11
497,24
498,22
499,24
500,7
501,1
502,12
503,22
504,17
505,12
506,12
507,19
508,1
509,24
510,1
511,17
512,8
513,5
514,20
515,15
516,5
517,16
518,23
519,12
520,12
521,0
522,4
523,18
524,4
525,12
526,20
527,5
528,7
529,7
530,23
531,13
532,23
533,23
534,12
535,14
536,5
537,18
538,4
539,23
540,3
541,11
542,11
543,5
544,13
545,23
546,15
547,3
548,11
549,12
550,8
551,14
552,2
553,13
554,21
555,21
556,6
557,2
558,12
559,7
560,8
561,5
562,19
563,4
564,12
565,23
566,20
567,3
568,4
569,23
570,16
571,12
572,17
573,17
574,0
575,7
576,21
577,12
578,4
579,23
580,8
581,1
582,19
583,21
584,23
585,13
586,21
587,23
588,7
589,23
590,8
591,8
592,2
593,2
594,11
595,2
596,12
597,16
598,4
599,22
600,0
601,6
602,13
603,23
604,4
